"","lowerBound","upperBound","middle","corArray"
"1",0.14047057480947,0.355587363248762,0.248028969029116,0
"2",0.138461611887403,0.354796487081579,0.246629049484491,0.0988482249480614
"3",0.136388829175656,0.354198395875297,0.245293612525476,0.191125694618226
"4",0.134235839920236,0.353782404840499,0.244009122380368,0.27178465669227
"5",0.131987504484013,0.353540561159681,0.242764032821847,0.338140473806769
"6",0.129629285408193,0.353467132801279,0.241548209104736,0.389824765659598
"7",0.127146666821204,0.353558300550335,0.24035248368577,0.428141818211595
"8",0.12452457708072,0.353812009242509,0.239168293161615,0.455272231643198
"9",0.121746758157426,0.35422795711068,0.237987357634053,0.473627495064799
"10",0.118795020287187,0.354807720641232,0.236801370464209,0.485452653191823
