"","lowerBound","upperBound","middle","corArray"
"1",-0.576778575296111,-0.318877278906574,-0.447827927101342,0
"2",-0.580276755064518,-0.311669450692421,-0.44597310287847,0.0988482249480614
"3",-0.583773660778649,-0.304528730145449,-0.444151195462049,0.191125694618226
"4",-0.587283094149865,-0.297416662412629,-0.442349878281247,0.27178465669227
"5",-0.590818312818043,-0.290297944982406,-0.440558128900225,0.338140473806769
"6",-0.594392737525575,-0.283138543993484,-0.43876564075953,0.389824765659598
"7",-0.598020675113995,-0.2759039470273,-0.436962311070648,0.428141818211595
"8",-0.60171812294917,-0.268557377143004,-0.435137750046087,0.455272231643198
"9",-0.605503734201212,-0.261057787150765,-0.433280760675989,0.473627495064799
"10",-0.609400050877311,-0.253357415527846,-0.431378733202579,0.485452653191823
