"","lowerBound","upperBound","middle","corArray"
"1",-0.622472547855298,0.0331967168283782,-0.29463791551346,0
"2",-0.631879434967376,0.0373646940618129,-0.297257370452781,0.0988482249480614
"3",-0.640874557022939,0.041850635729115,-0.299511960646912,0.191125694618226
"4",-0.649523468796568,0.0466641976193735,-0.301429635588597,0.27178465669227
"5",-0.657878300756944,0.0518131951410041,-0.30303255280797,0.338140473806769
"6",-0.665981601030508,0.0573043021802387,-0.304338649425134,0.389824765659598
"7",-0.673869170120422,0.0631437474959274,-0.305362711312247,0.428141818211595
"8",-0.681572241419353,0.0693380638940223,-0.306117088762665,0.455272231643198
"9",-0.689119247510088,0.0758949424272432,-0.306612152541423,0.473627495064799
"10",-0.696537346615829,0.0828242497247124,-0.306856548445558,0.485452653191823
