"","lowerBound","upperBound","middle","corArray"
"1",0.0743573568492286,0.812225822502123,0.443291589675676,0
"2",0.0811620585233599,0.816824182063739,0.448993120293549,0.0988482249480614
"3",0.087766868174014,0.821238802694029,0.454502835434021,0.191125694618226
"4",0.0942056057575374,0.825491741578308,0.459848673667923,0.27178465669227
"5",0.100505644307956,0.829600154149989,0.465052899228973,0.338140473806769
"6",0.106689906330898,0.833577840311927,0.470133873321413,0.389824765659598
"7",0.112778432624904,0.837436393022702,0.475107412823803,0.428141818211595
"8",0.118789691979651,0.841186086369921,0.479987889174786,0.455272231643198
"9",0.124741758409731,0.844836598045971,0.484789178227851,0.473627495064799
"10",0.130653463095428,0.848397637022337,0.489525550058883,0.485452653191823
