"","lowerBound","upperBound","middle","correlation"
"1",-0.145670370238593,0.890989271020606,0.372659450391006,0.0988482249480614
"2",-0.142230724522156,0.897161757693731,0.377465516585787,0.191125694618226
"3",-0.138568398497491,0.902715827780682,0.382073714641595,0.27178465669227
"4",-0.134706235635451,0.907724806736621,0.386509285550585,0.338140473806769
"5",-0.130664962426646,0.912247359843819,0.390791198708587,0.389824765659598
"6",-0.126463507410306,0.91633165409856,0.394934073344127,0.428141818211595
"7",-0.122119063511365,0.920018219515541,0.398949578002088,0.455272231643198
"8",-0.117646965706799,0.923341944804078,0.40284748954864,0.473627495064799
"9",-0.11306041936371,0.926333485168845,0.406636532902568,0.485452653191823
"10",-0.108370088503335,0.92902026409224,0.410325087794453,0.492643334768602
