"","lowerBound","upperBound","middle","correlation"
"1",0.361879705667927,0.630112730194802,0.495996217931364,0
"2",0.343467373311946,0.633101858777317,0.488284616044632,0.0988482249480614
"3",0.325092241129605,0.636268626512349,0.480680433820977,0.191125694618226
"4",0.306681703195804,0.639600528179691,0.473141115687747,0.27178465669227
"5",0.28817065302427,0.643088130636776,0.465629391830523,0.338140473806769
"6",0.269497863432889,0.646724439991323,0.458111151712106,0.389824765659598
"7",0.250602660481684,0.650504613501106,0.450553636991395,0.428141818211595
"8",0.231421603545982,0.654425929312192,0.442923766429087,0.455272231643198
"9",0.211884885242333,0.658487973103072,0.435186429172702,0.473627495064799
"10",0.191912124345343,0.662693033223114,0.427302578784229,0.485452653191823
