"","lowerBound","upperBound","middle","correlation"
"1",-0.678875589979365,0.0355797854045034,-0.321647902287431,0
"2",-0.682332148817047,0.0269744507627224,-0.327678849027162,0.0988482249480614
"3",-0.68539542164637,0.0185540651994949,-0.333420678223437,0.191125694618226
"4",-0.688114819453631,0.0102970669550437,-0.338908876249294,0.27178465669227
"5",-0.690531279093301,0.00218691362361151,-0.344172182734845,0.338140473806769
"6",-0.692679474115088,-0.00578963277967554,-0.349234553447382,0.389824765659598
"7",-0.694589364611334,-0.013643914756842,-0.354116639684088,0.428141818211595
"8",-0.696287300810009,-0.0213865987167082,-0.358836949763359,0.455272231643198
"9",-0.697796821347796,-0.0290287981648454,-0.363412809756321,0.473627495064799
"10",-0.699139241152511,-0.0365831849521411,-0.367861213052326,0.485452653191823
