"","lowerBound","upperBound","middle","correlation"
"1",-0.0903972447298483,0.883754653437527,0.396678704353839,0
"2",-0.0776149989098636,0.880846933286684,0.40161596718841,0.0988482249480614
"3",-0.0655188009634645,0.8780774361996,0.406279317618068,0.191125694618226
"4",-0.0539984554623281,0.87542385463204,0.410712699584856,0.27178465669227
"5",-0.0429668480497804,0.872868021068856,0.414950586509538,0.338140473806769
"6",-0.032353379180472,0.870394775290328,0.419020698054928,0.389824765659598
"7",-0.0220992164411458,0.86799110832062,0.422945945939737,0.428141818211595
"8",-0.0121537250734519,0.865645488863235,0.426745881894892,0.455272231643198
"9",-0.00247165105515712,0.863347304693589,0.430437826819216,0.473627495064799
"10",0.00698924417107383,0.861086367136979,0.434037805654026,0.485452653191823
